Std_SMILES,Orig_SMILES,IDs,Count
N[C@H](C(=O)O)[C@@H](O)C(=O)O,N[C@H](C(=O)O)[C@@H](O)C(=O)O,68e7b332149be731d2e7ad89 | 6995a499e7480c69207d1e24,2
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,68e7b333149be731d2e7adaf | 6995a49ee7480c69207d20e9,2
Nc1nc(=O)c(O)c(N)[nH]1,NC1=NC(N)C(=O)C(=O)N1 | Nc1nc(N)c(O)c(=O)[nH]1,68e7b332149be731d2e7ad16 | 6995a3ace7480c69207d10dc,2
O=C(C(O)CO)C(O)C(O)CO,O=C(CO)C(O)C(O)C(O)CO | O=CC(O)C(O)C(O)C(O)CO,68e7b333149be731d2e7ae41 | 68e7b3e0149be731d2e921ee,2
O=C(C(O)CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO | O=C(CO)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,6995a406e7480c69207d169a | 6995a406e7480c69207d16c4,2
O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO,O=C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO | O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,6995a49ee7480c69207d2179 | 6995a4a1e7480c69207d249d,2
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,68e7b3e0149be731d2e921a7 | 6995a497e7480c69207d1d30,2
O=C(O)/C=C(\CC(=O)O)C(=O)O,O=C(O)/C=C(\CC(=O)O)C(=O)O,68e7b333149be731d2e7ae7e | 6995a499e7480c69207d1e43,2
O=C(O)/C=C\C(=O)Nc1ccccc1,O=C(O)/C=C\C(=O)Nc1ccccc1 | O=C(O)/C=C\C(O)=Nc1ccccc1,68e7b333149be731d2e7ae82 | 6995a498e7480c69207d1d83,2
O=C(O)c1cc(=O)c(O)c(C(=O)O)o1,O=C(O)c1cc(=O)c(O)c(C(=O)O)o1 | O=C(O)C1=CC(=O)C(=O)C(C(=O)O)O1,68e7b3e0149be731d2e921ad | 6995a499e7480c69207d1e5d,2
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,68e7b334149be731d2e7af68 | 6995a0bae7480c69207d08ac,2
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,68e7b366149be731d2e80e8f | 6995a4a1e7480c69207d23b2,2
O=C1c2ccccc2C(=O)C1c1nc2ccccc2cc1O,O=C1C(=C2Nc3ccccc3C=C2O)C(=O)c2ccccc21 | O=C1c2ccccc2C(=O)C1c1nc2ccccc2cc1O,68e7b334149be731d2e7af8d | 6995a49be7480c69207d1f78,2
O=Nc1c(O)ccc2ccccc12,O=Nc1c(O)ccc2ccccc12 | O=C1C=Cc2ccccc2C1=NO | O=NC1C(=O)C=Cc2ccccc21,68e7b313149be731d2e774e7 | 68e7b334149be731d2e7afa0 | 6995a407e7480c69207d189c,3
O=Nc1ccc(NNC(=O)c2ccccc2)cc1,O=NC1C=CC(=NNC(=O)c2ccccc2)C=C1 | O=C(NN=C1C=CC(=NO)C=C1)c1ccccc1,68e7b3e0149be731d2e921b3 | 6995a498e7480c69207d1d92,2
O=Nc1ccc(NO)c2cccnc12,ON=C1C=CC(=NO)c2ncccc21 | O=NC1C=CC(N=O)c2ncccc21,68e7b335149be731d2e7b134 | 68e7b3e0149be731d2e921b5,2
O=Nc1ccc(O)cc1,O=Nc1ccc(O)cc1 | O=NC1C=CC(=O)C=C1 | O=C1C=CC(=NO)C=C1,68e7b334149be731d2e7b027 | 68e7b3e0149be731d2e921b4 | 6995a406e7480c69207d16ad,3
O=[N+]([O-])c1ccc(C=NO)o1,O=[N+]([O-])c1ccc(C=NO)o1 | O=NCc1ccc([N+](=O)[O-])o1,68e7b320149be731d2e78c2c | 68e7b3e0149be731d2e921c3,2
O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2)cc1,O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2)cc1 | O=C1C=CC(=NNc2ccc([N+](=O)[O-])cc2)C=C1,68e7b316149be731d2e77b01 | 68e7b334149be731d2e7af99,2
O=c1cc(O)[nH]cn1,O=c1cc(O)nc[nH]1 | O=C1CC(=O)NC=N1,68e7b335149be731d2e7b0cf | 6995a49ee7480c69207d2165,2
O=c1cc[nH]cn1,Oc1ccncn1 | O=C1CC=NC=N1,68e7b316149be731d2e77ade | 68e7b334149be731d2e7afaa,2
OCc1cc(O)c2c(O)c3c(O)cccc3c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2c1,O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21 | O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,68e7b334149be731d2e7affa | 6995a499e7480c69207d1e21 | 6995a49ae7480c69207d1ea0,3
ON=C1CCCCC1,ON=C1CCCCC1 | O=NC1CCCCC1,68e7b31b149be731d2e78330 | 6995a407e7480c69207d1886,2
ON=C1CCCCCC1=NO,O=NC1=C(NO)CCCCC1 | O=NC1CCCCCC1N=O | ON=C1CCCCCC1=NO,68e7b334149be731d2e7b022 | 68e7b3e0149be731d2e921b7 | 6995a3aae7480c69207d0f99,3
ON=C1CCCCCCCCC1=NO,ON=C1CCCCCCCCC1=NO | O=NC1CCCCCCCCC1N=O,68e7b335149be731d2e7b135 | 68e7b3e0149be731d2e921b8,2
Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl | O=C1[C@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,68e7b31a149be731d2e781ad | 6995a497e7480c69207d1d00,2
Oc1ccc(N=Nc2ccccc2)cc1,Oc1ccc(N=Nc2ccccc2)cc1 | O=C1C=CC(=NNc2ccccc2)C=C1,68e7b321149be731d2e78db2 | 68e7b334149be731d2e7af9a,2
Oc1ccc2cccnc2c1,Oc1ccc2cccnc2c1 | O=c1ccc2ccc[nH]c-2c1,68e7b317149be731d2e77c81 | 68e7b335149be731d2e7b0d3,2
Oc1cccc2nccnc12,Oc1cccc2nccnc12 | O=c1cccc2[nH]ccnc1-2,68e7b335149be731d2e7b14c | 6995a407e7480c69207d18a9,2
